"Reporter","Partner","Trade","Product","Indicator","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Korea","China","Import","Metals","Import","9077624.560000002","13393116.439","20487663.134999998","8408110.776","11400356.530999998","15072735.552999998","13384802.684999999","12481166.901","14682844.888999999","12807413.356","11862121.83"
"Korea","China","Import","Minerals","Import","625796.865","697554.382","735643.142","322710.515","532690.255","546244.15","428287.194","382300.982","385721.787","347921.011","339462.144"
"Korea","China","Import","Miscellaneous","Import","2743954.136","3612602.371","4078122.017","3425049.08","4966748.291999999","6142469.858","6398629.695","6128396.646000001","7284037.369","7639511.576","6990324.411"
"Korea","China","Import","PlasticorRubber","Import","918623.383","1219306.021","1360913.75","1146148.827","1627559.154","2075171.44","2125414.06","2228975.068","2459949.465","2584457.077","2539464.185"
"Korea","China","Import","StoneandGlass","Import","1379500.5810000002","1753395.739","1936207.639","1707158.4500000002","2097892.589","2437270.117","2672154.594","3002168.1270000003","2903803.3540000003","2838277.692","2857776.694"
"Korea","China","Import","TextilesandClothing","Import","4660234.007","5364283.543000001","5113319.78","3920334.714","5126375.915","6237415.948000001","5479785.604","5960303.148","6168247.687000002","5964876.763","5772013.508"
"Korea","China","Import","Transportation","Import","559951.8230000001","992920.879","1569323.0050000001","1589673.77","2718996.0","2426849.931","2554843.2079999996","2169472.2260000003","1917876.859","2052699.5750000002","2145769.631"
"Korea","China","Import","Vegetable","Import","986094.6150000001","1650458.044","1019356.7949999999","899117.129","1041964.3489999999","1350994.3499999999","1172242.5050000001","1375241.049","1270662.1380000003","1228449.5289999999","1253320.104"
"Korea","China","Import","Wood","Import","712058.976","858748.007","830895.838","664018.042","849602.985","1075433.9139999999","1106315.386","1226344.377","1337158.5999999996","1259784.119","1256254.5990000002"
"Korea","United-States","Export","AllProducts","Export","43320311.038","45883922.08","46500676.172","37802594.458","49991458.238","56421431.345","58806901.088","62326903.271","70598279.902","70117307.228","66748306.308"
"Korea","United-States","Export","Capitalgoods","Export","19642906.658999998","21964236.923000004","24828651.668000005","21717047.37599997","27435862.086000018","29982777.994999982","29007426.197000004","30440011.949999973","32952345.78900003","32068223.49599995","31696364.468999982"
"Korea","United-States","Export","Consumergoods","Export","17198406.38199999","17430462.858000003","14101652.830000006","11399077.804999998","15136350.037","17018840.113999993","19571648.028000016","22186319.96199999","24815627.325999994","27691760.056000005","25764363.149999976"
"Korea","United-States","Export","Intermediategoods","Export","6343379.364000006","6366312.636000012","7400358.122999989","4546059.182999998","7232020.693999996","9176640.666","10022549.177000005","9468420.081999999","12607262.993000012","10122611.833000004","9051771.349999992"
"Korea","United-States","Export","Rawmaterials","Export","123921.21900000007","110726.59699999997","161444.58399999992","132561.269","177339.23900000012","230276.47000000006","191530.78000000003","219970.5969999999","212313.81600000005","224594.59800000006","225002.52199999997"
"Korea","United-States","Export","Animal","Export","43695.944","50988.502","56943.993","73754.813","80108.49900000001","101044.538","105648.53","106284.148","105370.30500000001","117822.748","130493.299"
"Korea","United-States","Export","Chemicals","Export","1093812.389","1280345.092","1500275.3680000002","1002597.4459999999","1517695.3809999998","2117304.502","2111481.335","1729431.4249999998","2583203.656","2226126.978","2205143.133"
"Korea","United-States","Export","FoodProducts","Export","261230.306","273829.57","285553.50299999997","283395.582","312432.528","350362.253","395249.214","456695.1290000001","500099.458","541730.542","597977.2289999999"
"Korea","United-States","Export","Footwear","Export","102024.49","91306.98700000001","86855.359","49811.96000000001","48491.331","55785.125","64376.36","65344.064","56612.861","61765.06","69343.052"
"Korea","United-States","Export","Fuels","Export","3121599.876","4154007.725","2055854.882","1879291.869","3499613.852","2645717.461","2919083.449","3523743.527","3144683.732","2884705.759","2422603.019"
"Korea","United-States","Export","HidesandSkins","Export","33824.45","27505.375","20237.618","18604.022","18211.13","22206.569","52331.823000000004","108201.844","66608.018","54618.516","63757.705"
"Korea","United-States","Export","MachandElec","Export","17206398.786","18437839.199","20611713.152","19271562.257","22947436.12","24069581.56","20880690.542000003","23011256.450999998","24453341.454","24377000.200999998","24658586.428000003"
"Korea","United-States","Export","Metals","Export","3126162.864","2992967.669","4126787.9729999998","2169565.064","3294389.1850000005","4686956.698000001","5434326.461000001","5166390.152000001","7437493.6559999995","5520220.0770000005","4782637.76"
"Korea","United-States","Export","Minerals","Export","111537.787","110283.984","43414.683","41716.011","41436.124","57815.995","58409.335999999996","57825.935000000005","65492.355","56135.814","37476.098999999995"
"Korea","United-States","Export","Miscellaneous","Export","1684331.844","2399933.87","2366523.252","1518645.8170000003","1796781.108","1633584.7040000001","1960311.5189999999","2241667.37","2500464.7530000005","2296954.506","2312448.0369999995"
"Korea","United-States","Export","PlasticorRubber","Export","1966506.5690000001","1946117.196","2044040.921","1657215.409","2575252.515","3267157.245","3606491.4189999998","3499338.119","3766989.122","3779292.888","3952735.203"
"Korea","United-States","Export","StoneandGlass","Export","298924.811","314823.788","280124.723","200075.23599999998","270814.543","325624.767","313396.95499999996","323121.105","546716.639","643372.203","446905.91800000006"
"Korea","United-States","Export","TextilesandClothing","Export","1910022.5180000002","1661602.2950000002","1440602.2199999997","1069398.101","1182400.0250000001","1296665.9669999997","1359988.8450000002","1363359.4000000001","1379971.098","1319110.744","1247706.5060000003"
"Korea","United-States","Export","Transportation","Export","11690608.475","11504337.768","10994620.305","8137892.433","11841637.173999999","15213104.703000002","18985064.69","20014060.96","23347304.875","25634356.149","23222827.389"
"Korea","United-States","Export","Vegetable","Export","58350.59100000001","63385.407999999996","67499.073","73435.26299999999","84066.041","83640.57","86827.436","97439.29800000002","98643.34599999999","98913.33200000001","105020.78"
"Korea","United-States","Export","Wood","Export","599601.512","574647.652","519629.147","355633.175","480692.682","494878.688","473223.174","562744.344","545284.574","505181.711","492644.75100000005"
"Poland","United-States","Export","AllProducts","Export","2103671.016","2057467.446","2470817.762","2482480.281","2873359.409","3693647.65","3603529.325","4842491.026","4853690.265","4468359.21","4810380.54"
"Poland","United-States","Export","Capitalgoods","Export","837580.3210000001","739565.7100000002","945238.1800000004","1279409.6590000002","1246990.8960000004","1465289.9969999993","1764104.9690000005","1972886.435999998","2210206.9630000014","1907501.8220000023","2122803.596"
"Poland","United-States","Export","Consumergoods","Export","802745.5750000001","929565.1810000003","1024421.8050000002","803704.6549999997","960628.2299999989","1388156.8869999996","1258119.666000001","1816529.5490000013","1826157.397999999","1548940.7010000017","1642527.8429999987"
"Poland","United-States","Export","Intermediategoods","Export","436945.14100000047","360495.15699999995","470142.65500000026","352325.1499999998","576573.7760000008","794291.3799999997","506177.14499999996","982886.2510000004","679751.301","881807.3090000007","895638.568"
"Poland","United-States","Export","Rawmaterials","Export","25371.927","26116.51999999999","30168.339000000004","46813.497","89166.49200000001","45046.96100000001","73884.38799999999","70188.44899999994","137574.603","123583.55099999996","139847.49000000002"
"Poland","United-States","Export","Animal","Export","22323.607","21813.522999999997","27353.82","48814.293","87011.979","43869.613","40512.055","50303.896","106351.8","105979.26","123346.354"
"Poland","United-States","Export","Chemicals","Export","80659.395","133820.89","170862.84699999998","137459.744","126465.06800000001","149273.12199999997","168558.277","169181.93700000003","176406.302","176359.862","203449.44100000005"
"Poland","United-States","Export","FoodProducts","Export","155666.964","193887.137","208076.4","198111.192","171655.514","192738.174","209903.98200000002","227588.74200000003","229398.02500000002","251389.17000000004","241652.472"
"Poland","United-States","Export","Footwear","Export","2771.96","2417.2439999999997","1995.886","734.447","4912.187","8025.487999999999","6393.832","8677.528","11387.075","13527.751999999999","15765.194"
"Poland","United-States","Export","Fuels","Export","112670.772","285.654","49025.152","1617.198","100244.803","317370.934","156104.108","558318.725","404002.423","101334.917","33275.693"
"Poland","United-States","Export","HidesandSkins","Export","273.14599999999996","549.593","785.8140000000001","415.84399999999994","655.778","731.0799999999999","1196.8919999999998","13832.332","8060.081999999999","8077.3240000000005","10009.443"
"Poland","United-States","Export","MachandElec","Export","600766.863","683732.814","692459.104","643777.0549999999","983717.527","1143813.2179999999","1360427.739","1526660.295","1718495.388","1714295.09","1905212.537"
"Poland","United-States","Export","Metals","Export","269117.533","218681.18699999998","204828.41100000002","150723.736","183996.82700000002","186058.78199999998","240753.96600000001","205014.887","235745.36799999996","224674.61000000002","201434.603"
"Poland","United-States","Export","Minerals","Export","947.819","970.5989999999999","1242.387","992.0390000000001","1635.282","1778.286","3160.622","2461.682","1739.829","649.047","1023.5"
"Poland","United-States","Export","Miscellaneous","Export","257057.31900000005","315186.443","416642.259","316119.936","394663.54000000004","462719.7259999999","462635.30000000005","601101.2829999999","698965.407","800856.525","749243.155"
"Poland","United-States","Export","PlasticorRubber","Export","53212.951","70176.051","59927.294","69890.114","105595.187","167636.313","157751.062","177765.55299999999","221952.204","188010.533","203852.886"
"Poland","United-States","Export","StoneandGlass","Export","118682.57100000001","114042.38899999998","117155.884","77674.274","193974.80100000004","396177.9","95665.18","143149.5","166344.75300000003","274541.95","278504.716"
"Poland","United-States","Export","TextilesandClothing","Export","50349.916","50136.791","39824.55","43857.14599999999","36168.789000000004","46577.77","39520.156","44110.387","61200.582","67975.826","79131.62800000001"
"Poland","United-States","Export","Transportation","Export","302228.793","174516.905","390769.755","703630.439","397276.777","487629.02300000004","549576.85","1003364.159","701098.213","429154.73699999996","627808.7880000001"
"Poland","United-States","Export","Vegetable","Export","26860.331999999995","36857.41399999999","53343.828","56927.219","51268.374","52310.452","73834.40599999999","54243.974","44737.575000000004","45500.235","50712.88999999999"
"Poland","United-States","Export","Wood","Export","49053.023","40392.812000000005","36524.371","31735.605","34116.976","36937.76899999999","37534.898","56716.14600000001","67805.239","66032.372","85957.24"
"China","United-States","Export","AllProducts","Export","203801045.737","233168789.977","252843530.635","221295019.639","283780322.735","325010987.549","352438221.016","369063858.557","397099249.674","409979244.393","385677759.424"
"China","United-States","Export","Capitalgoods","Export","85434292.63800004","99286064.19499977","104412638.68899988","95961051.22200002","125845271.10500005","146020529.68899995","158747033.6799999","164920460.13500002","178868346.81500012","175279132.08199978","168047890.15099975"
"China","United-States","Export","Consumergoods","Export","96041254.23300003","110253087.41999994","117376781.33599995","105075844.71400006","132129923.73499988","147982981.8330001","160344836.16999978","170515702.9339999","181467796.63399988","198361142.917","184044965.31800026"
"China","United-States","Export","Intermediategoods","Export","19738576.633999955","21106245.11399999","28189601.022999972","17568228.947999984","22402313.430999994","27217503.683000047","29597056.88499995","29924602.154999945","32956358.60999996","32718734.020999983","29784752.43400003"
"China","United-States","Export","Rawmaterials","Export","2485725.8079999993","2393240.296","2689666.2959999996","2508785.248000001","3248898.4700000044","3614835.269000001","3735042.0759999994","3688469.0170000023","3792385.6420000014","3614595.2980000027","3363256.180000002"
"China","United-States","Export","Animal","Export","1166334.1919999998","1158776.2519999999","1130749.415","1523176.7","1989510.7880000002","2094108.602","1986783.1140000003","2089639.069","2234675.028","2127353.972","2026438.9409999999"
"China","United-States","Export","Chemicals","Export","5096985.265","6051379.258","8891731.4","6908634.086000001","9207933.319000002","11659413.771","11757878.355000002","11870753.674999999","12807736.612","12531513.648","11814652.11"
"China","United-States","Export","FoodProducts","Export","1918897.66","2485991.2320000003","3159479.117","2348863.4319999996","2696524.4699999997","3300637.11","3784927.610999999","3751014.292000001","3628080.0920000006","3594744.0950000007","3583698.299"
"China","United-States","Export","Footwear","Export","9110619.216","9951290.533","11137333.009","10605743.21","13345698.568999998","15014836.781","16418138.017","16707075.334999999","17389139.262","18489617.047","15839258.095999999"
"China","United-States","Export","Fuels","Export","1445421.785","1291634.0","2360855.171","695897.077","867985.635","1067388.486","1307892.128","1308101.181","1294389.511","959947.725","1267310.223"
"China","United-States","Export","HidesandSkins","Export","3726865.529","4105995.164","4284810.021","3835528.7610000004","5600134.1729999995","7169821.19","7195459.195","7266452.092","6929422.161","7910255.463999999","6501157.567"
"China","United-States","Export","MachandElec","Export","92569678.428","107907081.88499999","113610296.788","104774694.792","132946074.239","150091878.271","163441427.442","169450090.766","183304292.447","179727550.026","172517006.05900002"
"China","United-States","Export","Metals","Export","16334820.982","17879317.583000004","20652991.612","11998048.919000002","15061074.057000002","17897809.193","19091920.941000003","19877864.303999998","22200296.065000005","23193046.506999996","19731181.407"
"China","United-States","Export","Minerals","Export","714780.104","489145.68100000004","521407.265","194032.357","359254.58999999997","492388.29","462279.64","389704.642","486252.794","376253.55","320478.162"
"China","United-States","Export","Miscellaneous","Export","27162455.113","31180040.399","34778170.37","29782559.303","37028761.71","40343091.915","45054124.40999999","48068086.38300001","50275918.965","58207556.628000006","56821533.603999995"
"China","United-States","Export","PlasticorRubber","Export","8037046.988","9056665.605999999","9519349.333","8457010.116","10562271.35","13494457.112","16096283.446","17192006.217","18039872.749","18059166.723","16408707.807"
"China","United-States","Export","StoneandGlass","Export","3797086.1909999996","4159682.102","4304737.418","4040275.9689999996","5905085.154","7439664.624999999","8195003.482000001","9594063.185999999","10435601.675999999","12610411.087","10105455.606"
"China","United-States","Export","TextilesandClothing","Export","19890764.158","22906109.129","23303462.866","24619756.703","31479126.854","35086659.605","36227605.804","39010744.49999999","41948851.539","44853264.475","42211853.737"
"China","United-States","Export","Transportation","Export","7776285.932","8929722.655","9501720.316","6323596.932999999","10449196.788","12642159.013","13398313.042","13979333.341","16988623.279","16968835.863","16819131.254"
"China","United-States","Export","Vegetable","Export","679890.961","763925.7030000001","782170.371","817002.034","1060043.468","1277096.933","1353235.439","1387208.862","1465624.555","1543766.9860000003","1675221.702"
"China","United-States","Export","Wood","Export","4373113.233","4852032.795","4904266.163000001","4370199.2469999995","5221647.571","5939576.652000001","6666948.950000001","7121720.711999999","7670472.938999999","8825960.597","8034674.850000001"
"Indonesia","United-States","Export","AllProducts","Export","11259135.631","11644198.464","13079933.994","10889078.628","14301875.648","16497615.839","14910181.324","15741131.921","16560075.701","16268488.416","16171284.269"
"Indonesia","United-States","Export","Capitalgoods","Export","1108077.3380000002","944976.8989999999","1210544.9280000005","1414473.4729999993","1179149.8259999997","1111595.9029999992","1262397.3910000005","1310408.1169999992","1482959.8009999993","1505730.5420000006","1466150.0839999998"
"Indonesia","United-States","Export","Consumergoods","Export","6359736.289999997","6589485.666","6744950.162999996","6143262.857000011","7898183.520999998","8805319.007000005","8463440.358999988","9183668.949","9383982.549","9518472.796000002","9898947.436999997"
"Indonesia","United-States","Export","Intermediategoods","Export","1265371.4729999995","1575479.0420000015","1872252.6919999993","1169894.5779999995","1489835.2110000015","1820164.8780000003","1967203.9700000011","1887628.438999999","2296805.8979999986","2077954.2740000016","2123435.129999999"
"Indonesia","United-States","Export","Rawmaterials","Export","2504432.3929999988","2503904.174999998","3209600.6510000024","2127794.676999999","3685922.230000001","4676298.443000003","3217067.454","3359426.376","3396168.716","3160017.7640000004","2665712.031"
"Indonesia","United-States","Export","Animal","Export","507425.816","573233.8060000001","691026.993","553544.3420000001","624430.929","779170.471","851850.162","938499.6250000001","1320313.6530000002","1008407.457","1159311.329"
"Indonesia","United-States","Export","Chemicals","Export","107942.416","113697.90099999998","289542.20099999994","131540.15999999997","176995.336","227583.12","378459.44599999994","492870.951","446809.279","401550.552","501634.6720000001"
"Indonesia","United-States","Export","FoodProducts","Export","522122.577","458863.133","678175.0329999999","751341.691","739488.4169999999","644111.5859999999","601220.8439999999","721975.6020000001","965654.698","915288.784","888428.1950000001"
"Indonesia","United-States","Export","Footwear","Export","537490.48","492194.88300000003","501946.84699999995","522032.003","724330.1560000001","917433.225","1084706.388","1246373.263","1325677.7010000001","1495956.649","1555460.9409999999"
"Indonesia","United-States","Export","Fuels","Export","650195.095","430700.693","651581.539","493425.097","1030273.652","826554.735","297543.311","683640.415","752955.276","977593.056","484153.045"
"Indonesia","United-States","Export","HidesandSkins","Export","81006.914","92947.51999999999","91782.307","91249.489","121650.044","136060.45","138266.602","139843.674","116940.856","121033.926","126483.56899999999"
"Indonesia","United-States","Export","MachandElec","Export","1195487.437","1153939.5180000002","1402623.496","1569001.0350000001","1833887.331","1745527.879","1778233.504","1797891.101","1974119.2399999998","1867601.358","1832826.7319999998"
"Indonesia","United-States","Export","Metals","Export","283450.86000000004","275496.98399999994","328480.54600000003","236746.62700000004","374734.865","540415.642","493279.42300000007","378530.06600000005","489521.80500000005","438659.13200000004","417224.664"
"Indonesia","United-States","Export","Minerals","Export","4268.642","648.185","669.178","778.824","1131.257","81359.28499999999","153.88799999999998","34.963","0.311","162.977","240.841"
